Index,original_title,production_budget,worldwide_gross,imbd_id,budget,revenue,genres,producers,director,starring
4442,The Messenger,6500000,1744952,tt0790712,6500000,1521261,Drama,Mark Gordon,Lawrence Inglee,Zach Miller
4443,A Home at the End of the World,6500000,1038228,tt0359423,6500000,1548955,Romance,Tom Hulce,John Hart,Pamela Koffler
4449,Control,6400000,8902141,tt0421082,6400000,8159508,Drama,Anton Corbijn,Todd Eckert,Orian Williams
4459,Mallrats,6100000,2108367,tt0113749,6000000,2122561,Romance,Sean Daniel,James Jacks,Scott Mosier
4464,Fahrenheit 9/11,6000000,221148959,tt0361596,6000000,119114517,,Michael Moore,Jim Czarnecki,Kathleen Glynn
4472,The Brothers,6000000,27958191,tt0250274,6000000,27958192,Comedy,Doug McHenry,Paddy Cullen,Gary Hardwick
4473,The Wrestler,6000000,46634275,tt1125849,6000000,44703995,Drama,Darren Aronofsky,Scott Franklin,Darren Aronofsky
4476,The Wood,6000000,25059640,tt0161100,6000000,25059640,Comedy,Albert Berger,David Gale,Douglas Curtis
4477,The Usual Suspects,6000000,34449356,tt0114814,6000000,23341568,Drama,Bryan Singer,Michael McDonnell,Bryan Singer
4484,Best in Show,6000000,20695413,tt0218839,10000000,20800000,Comedy,Gordon Mark,Karen Murphy,Christopher Guest
4486,A Mighty Wind,6000000,18504539,tt0310281,6000000,18750246,Comedy,Karen Murphy,Christopher Guest,Catherine OHara
4490,Daddy Day Camp,6000000,18209872,tt0462244,6000000,18197398,Comedy,William Sherak,Jason Shuman,Fred Savage
4495,Tales from the Hood,6000000,11784569,tt0114609,6000000,12000000,Crime,Darin Scott,Rusty Cundieff,Clarence Williams III
4497,The Words,6000000,16369708,tt1840417,6000000,13231461,Drama,Michael Benaroya,Cassian Elwes,Tatiana Kelly
4500,Bernie,6000000,10106975,tt1704573,5000000,9206470,Comedy,Liz Glotzer,Richard Linklater,David McFadzean
4502,Pollock,6000000,10557291,tt0183659,6,8,Drama,Peter M. Brant,Ed Harris,Ed Harris
4504,200 Cigarettes,6000000,6852450,tt0137338,6000000,6852450,Comedy,Betsy Beers,David Gale,Van Toffler
4505,City Island,6000000,8173486,tt1174730,6000000,6670712,Drama,Raymond De Felitta,Andy Garcia,Lauren Versel
4509,The Virgin Suicides,6000000,10619770,tt0159097,6000000,10409377,Drama,Francis Ford Coppola,Julie Costanzo,Chris Hanley
4510,College,6000000,6176114,tt0844671,7000000,6230276,Comedy,Malcolm Petal,Julie Dangel,Deb Hagan
4513,Miss March,6000000,4713059,tt1151922,6000000,4600000,Comedy,Tom Jacobson,Trevor Moore,Zach Cregger
4514,Simply Irresistible,6000000,4398989,tt0145893,6000000,4398989,Comedy,Jon Amiel,Joseph M. Caracciolo Jr.,John Fiedler
4515,Wish I Was Here,6000000,6591365,tt2870708,5500000,5483299,Drama,Stacey Sher,Michael Shamberg,Zach Braff
4517,Veronica Mars,6000000,3485383,tt2771372,6000000,3485127,Comedy,Rob Thomas,Dan Etheridge,Danielle Stokdyk
4518,Only the Strong,6000000,3273588,tt0107750,6000000,3283371,Action,Samuel Hadida,Stuart S. Shapiro,Steven Menkin
4519,Hedwig and the Angry Inch,6000000,3740030,tt0248845,6000000,3600000,Comedy,Christine Vachon,Katie Roumel,Pamela Koffler
4520,Shattered Glass,6000000,3456602,tt0323944,6000000,2944752,Drama,Craig Baumgarten,Adam Merims,Gaye Hirsch
4521,The Wackness,6000000,3330012,tt1082886,6000000,2899975,Drama,Keith Calder,Felipe Marino,Joe Neurauter
4522,Novocaine,6000000,2522928,tt0234354,6000000,2025238,Comedy,Paul Mones,Daniel M. Rosenberg,David Atkins
4524,Snow Flower and the Secret Fan,6000000,11348205,tt1541995,134005,1332231,Drama,Wendi Murdoch,Florence Sloan,Wayne Wang
4536,Come Early Morning,6000000,119452,tt0457308,6000000,,Drama,Edward Bass,Michel Litvak,Joey Lauren Adams
4537,The Greatest,6000000,117796,tt1226232,6000000,335976,Drama,Lynette Howell,Beau St. Clair,Shana Feste
4539,Deadfall,6000000,1673635,tt1667310,12000000,66351,Crime,Gary Levinsohn,Shelly Clippard,Ben Cosgrove
4543,Song One,6000000,437089,tt2182972,6000000,32251,Drama,Marc Platt,Jonathan Demme,Anne Hathaway
4557,Emma,5900000,37831658,tt0116191,6000000,22231658,Drama,Patrick Cassavetti,Steven Haft,Douglas McGrath
4570,Crossover,5600000,7009668,tt0473024,5800000,7000000,Action,Frank Mancuso Jr.,Preston A. Whitmore II,Anthony Mackie
4577,Diary of a Mad Black Woman,5500000,50458356,tt0422093,5500000,50700000,Comedy,Reuben Cannon,Tyler Perry,Darren Grant
4579,Don Jon,5500000,41268579,tt2229499,6000000,41300000,Romance,Ram Bergman,Joseph Gordon-Levitt,Joseph Gordon-Levitt
4585,Ghost World,5500000,8761608,tt0162346,7000000,8800000,Comedy,Lianne Halfon,John Malkovich,Russell Smith
4589,Wonderland,5500000,1128468,tt0335563,5000000,2466444,Crime,Michael Paseornek,Holly Wiersma,James Cox
4594,Harvard Man,5500000,56653,tt0242508,5500000,56653,Drama,Daniel Bigel,Michael Mailer,Edward R. Pressman
